Date : 2023-08-29 20:20:02
Directory : /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset
Total : 542 files,  9899 codes, 782 comments, 802 blanks, all 11483 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        508 |      9,529 |        706 |        762 |     10,997 |
| C++      |         34 |        370 |         76 |         40 |        486 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/printList_Machine16.c          | C        |         18 |          3 |          3 |         24 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/removeItem_Machine16.c         | C        |         25 |          4 |          3 |         32 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/updateItem_Machine16.c         | C        |         23 |          4 |          3 |         30 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/addItem_Machine17.c            | C        |         33 |          0 |          0 |         33 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/costSum_Machine17.c            | C        |         13 |          0 |          0 |         13 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/deduplicate_Machine17.c        | C        |         26 |          0 |          0 |         26 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/highestPrice_Machine17.c       | C        |         17 |          0 |          0 |         17 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/itemToString_Machine17.c       | C        |         11 |          0 |          0 |         11 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/listInitialization_Machine17.c | C        |         13 |          0 |          0 |         13 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/load_Machine17.c               | C        |         24 |          0 |          0 |         24 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/printList_Machine17.c          | C        |         15 |          0 |          0 |         15 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/removeItem_Machine17.c         | C        |         25 |          0 |          0 |         25 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/save_Machine17.c               | C        |         14 |          0 |          0 |         14 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/swapItem_Machine17.c           | C        |         39 |          0 |          0 |         39 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/updateItem_Machine17.c         | C        |         19 |          0 |          0 |         19 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/addItem_Machine18.c            | C        |         20 |          0 |          0 |         20 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/costSum_Machine18.c            | C        |         14 |          0 |          0 |         14 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/deduplicate_Machine18.c        | C        |         22 |          0 |          0 |         22 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/highestPrice_Machine18.c       | C        |         18 |          0 |          0 |         18 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/itemToString_Machine18.c       | C        |          8 |          0 |          0 |          8 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/listInitialization_Machine18.c | C        |          4 |          0 |          0 |          4 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/printList_Machine18.c          | C        |         15 |          0 |          0 |         15 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/removeItem_Machine18.c         | C        |         23 |          0 |          0 |         23 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/save_Machine18.c               | C        |         19 |          0 |          0 |         19 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/swapItem_Machine18.c           | C        |         28 |          0 |          0 |         28 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/updateItem_Machine18.c         | C        |         20 |          0 |          0 |         20 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/addItem_Machine19.c            | C        |         45 |          1 |          8 |         54 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/costSum_Machine19.c            | C        |         13 |          0 |          2 |         15 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/deduplicate_Machine19.c        | C        |         27 |          0 |          4 |         31 |
