"filename", "language", "C", "C++", "comment", "blank", "total"
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/itemToString_Machine16.c", "C", 18, 0, 3, 3, 24
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/listInitialization_Machine16.c", "C", 4, 0, 0, 0, 4
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/printList_Machine16.c", "C", 18, 0, 3, 3, 24
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/removeItem_Machine16.c", "C", 25, 0, 4, 3, 32
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/updateItem_Machine16.c", "C", 23, 0, 4, 3, 30
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/addItem_Machine17.c", "C", 33, 0, 0, 0, 33
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/costSum_Machine17.c", "C", 13, 0, 0, 0, 13
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/deduplicate_Machine17.c", "C", 26, 0, 0, 0, 26
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/highestPrice_Machine17.c", "C", 17, 0, 0, 0, 17
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/itemToString_Machine17.c", "C", 11, 0, 0, 0, 11
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/listInitialization_Machine17.c", "C", 13, 0, 0, 0, 13
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/load_Machine17.c", "C", 24, 0, 0, 0, 24
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/printList_Machine17.c", "C", 15, 0, 0, 0, 15
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/removeItem_Machine17.c", "C", 25, 0, 0, 0, 25
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/save_Machine17.c", "C", 14, 0, 0, 0, 14
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/swapItem_Machine17.c", "C", 39, 0, 0, 0, 39
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine17/updateItem_Machine17.c", "C", 19, 0, 0, 0, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/addItem_Machine18.c", "C", 20, 0, 0, 0, 20
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/costSum_Machine18.c", "C", 14, 0, 0, 0, 14
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/deduplicate_Machine18.c", "C", 22, 0, 0, 0, 22
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/highestPrice_Machine18.c", "C", 18, 0, 0, 0, 18
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/itemToString_Machine18.c", "C", 8, 0, 0, 0, 8
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/listInitialization_Machine18.c", "C", 4, 0, 0, 0, 4
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/printList_Machine18.c", "C", 15, 0, 0, 0, 15
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/removeItem_Machine18.c", "C", 23, 0, 0, 0, 23
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/save_Machine18.c", "C", 19, 0, 0, 0, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/swapItem_Machine18.c", "C", 28, 0, 0, 0, 28
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine18/updateItem_Machine18.c", "C", 20, 0, 0, 0, 20
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/addItem_Machine19.c", "C", 45, 0, 1, 8, 54
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/costSum_Machine19.c", "C", 13, 0, 0, 2, 15
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/deduplicate_Machine19.c", "C", 27, 0, 0, 4, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/highestPrice_Machine19.c", "C", 17, 0, 0, 2, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/itemToString_Machine19.c", "C", 15, 0, 0, 1, 16
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/listInitialization_Machine19.c", "C", 7, 0, 0, 1, 8
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/printList_Machine19.c", "C", 15, 0, 0, 2, 17
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/removeItem_Machine19.c", "C", 40, 0, 0, 4, 44
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/save_Machine19.c", "C", 16, 0, 0, 3, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/swapItem_Machine19.c", "C", 33, 0, 0, 4, 37
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine19/updateItem_Machine19.c", "C", 31, 0, 0, 3, 34
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/addItem_Machine2.c", "C", 34, 0, 9, 8, 51
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/costSum_Machine2.c", "C", 15, 0, 5, 4, 24
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/deduplicate_Machine2.c", "C", 18, 0, 4, 4, 26
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/highestPrice_Machine2.c", "C", 17, 0, 4, 3, 24
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/itemToString_Machine2.c", "C", 16, 0, 6, 5, 27
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/listInitialization_Machine2.c", "C", 14, 0, 5, 4, 23
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/printList_Machine2.c", "C", 20, 0, 8, 6, 34
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/removeItem_Machine2.c", "C", 30, 0, 7, 7, 44
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/save_Machine2.c", "C", 16, 0, 7, 6, 29
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/swapItem_Machine2.c", "C", 27, 0, 7, 6, 40
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine2/updateItem_Machine2.c", "C", 29, 0, 9, 8, 46
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine20/addItem_Machine20.c", "C", 28, 0, 0, 0, 28
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine20/costSum_Machine20.c", "C", 14, 0, 0, 0, 14
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine20/deduplicate_Machine20.c", "C", 25, 0, 0, 0, 25
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine20/highestPrice_Machine20.c", "C", 20, 0, 0, 0, 20
